File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
./data/output_files/out/UN_104_em_84.lg, Incorrect,6,2,4,4,0,0.282404531833,5,20,4,4,0,0,0,0,5,4,0,4,3,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_85.lg, Incorrect,29,7,22,22,0,0.232054311793,17,272,13,21,0,0,2,1,14,13,0,13,8,6,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_86.lg, Incorrect,121,19,102,90,12,0.242347203773,45,1980,26,94,6,0,4,2,27,26,0,19,16,11,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_87.lg, Incorrect,7,3,4,4,0,0.3490711985,5,20,4,4,0,0,0,0,5,4,0,4,2,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_88.lg, Incorrect,8,2,6,2,4,0.594819016792,4,12,2,4,2,0,0,0,3,2,0,1,1,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_89.lg, Incorrect,24,7,17,13,4,0.499797565359,9,72,5,14,2,0,2,1,6,6,0,4,2,4,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_90.lg, Incorrect,35,11,24,22,2,0.264572107472,22,462,20,23,1,0,0,0,21,15,0,15,11,10,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_91.lg, Incorrect,12,4,8,8,0,0.259259259259,9,72,8,8,0,0,0,0,9,6,0,6,5,4,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_92.lg, Incorrect,53,13,40,36,4,0.423152063098,17,272,10,35,2,0,6,3,11,9,0,9,3,8,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_93.lg, Incorrect,11,1,10,8,2,0.407778182401,5,20,3,9,1,4,0,0,3,4,0,2,2,1,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_94.lg, Incorrect,51,11,40,32,8,0.30861176072,22,462,15,36,4,0,0,0,16,16,0,10,8,8,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_95.lg, Incorrect,13,3,10,10,0,0.211111111111,10,90,8,10,0,0,0,0,9,8,0,8,6,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_96.lg, Incorrect,14,4,10,6,4,0.651440125562,5,20,2,7,2,0,2,1,3,3,0,1,1,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_97.lg, Incorrect,23,6,17,17,0,0.200980392157,17,272,14,17,0,0,0,0,15,11,0,11,9,6,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_98.lg, Incorrect,16,5,11,9,2,0.301871064352,11,110,10,10,1,0,0,0,11,9,0,8,6,5,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_99.lg, Incorrect,38,8,30,24,6,0.206201220729,26,650,23,27,3,0,0,0,24,19,0,16,15,9,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_100.lg, Incorrect,9,4,5,5,0,0.35830498571,6,30,5,5,0,2,0,0,6,6,0,6,2,4,0,0,0,1,0,0,0,0
